,individual,cluster
group_A__JAMOL02_fullFed_pig_1_mother_54_day_49,JAMOL02_fullFed_pig_1_mother_54_day_49,A
group_A__JAMOL02_fullFed_pig_10_mother_49_day_49,JAMOL02_fullFed_pig_10_mother_49_day_49,A
group_A__JAMOL02_fullFed_pig_11_mother_49_day_49,JAMOL02_fullFed_pig_11_mother_49_day_49,A
group_A__JAMOL02_fullFed_pig_12_mother_49_day_49,JAMOL02_fullFed_pig_12_mother_49_day_49,A
group_A__JAMOL02_fullFed_pig_13_mother_49_day_49,JAMOL02_fullFed_pig_13_mother_49_day_49,A
group_A__JAMOL02_fullFed_pig_2_mother_54_day_49,JAMOL02_fullFed_pig_2_mother_54_day_49,A
group_A__JAMOL02_fullFed_pig_3_mother_54_day_49,JAMOL02_fullFed_pig_3_mother_54_day_49,A
group_A__JAMOL02_fullFed_pig_4_mother_54_day_49,JAMOL02_fullFed_pig_4_mother_54_day_49,A
group_A__JAMOL02_fullFed_pig_5_mother_54_day_49,JAMOL02_fullFed_pig_5_mother_54_day_49,A
group_A__JAMOL02_fullFed_pig_6_mother_54_day_49,JAMOL02_fullFed_pig_6_mother_54_day_49,A
group_A__JAMOL02_fullFed_pig_7_mother_54_day_49,JAMOL02_fullFed_pig_7_mother_54_day_49,A
group_A__JAMOL02_fullFed_pig_8_mother_49_day_49,JAMOL02_fullFed_pig_8_mother_49_day_49,A
group_A__JAMOL02_fullFed_pig_9_mother_49_day_49,JAMOL02_fullFed_pig_9_mother_49_day_49,A
group_B__JAMOL02_dietRestricted_pig_14_mother_51_day_49,JAMOL02_dietRestricted_pig_14_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_15_mother_51_day_49,JAMOL02_dietRestricted_pig_15_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_16_mother_51_day_49,JAMOL02_dietRestricted_pig_16_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_17_mother_51_day_49,JAMOL02_dietRestricted_pig_17_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_18_mother_51_day_49,JAMOL02_dietRestricted_pig_18_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_19_mother_51_day_49,JAMOL02_dietRestricted_pig_19_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_20_mother_51_day_49,JAMOL02_dietRestricted_pig_20_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_21_mother_51_day_49,JAMOL02_dietRestricted_pig_21_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_22_mother_51_day_49,JAMOL02_dietRestricted_pig_22_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_23_mother_51_day_49,JAMOL02_dietRestricted_pig_23_mother_51_day_49,B
group_B__JAMOL02_dietRestricted_pig_25_mother_56_day_49,JAMOL02_dietRestricted_pig_25_mother_56_day_49,B
group_B__JAMOL02_dietRestricted_pig_26_mother_56_day_49,JAMOL02_dietRestricted_pig_26_mother_56_day_49,B
group_B__JAMOL02_dietRestricted_pig_27_mother_56_day_49,JAMOL02_dietRestricted_pig_27_mother_56_day_49,B
group_B__JAMOL02_dietRestricted_pig_28_mother_56_day_49,JAMOL02_dietRestricted_pig_28_mother_56_day_49,B
group_B__JAMOL02_dietRestricted_pig_30_mother_56_day_49,JAMOL02_dietRestricted_pig_30_mother_56_day_49,B
group_B__JAMOL02_dietRestricted_pig_31_mother_56_day_49,JAMOL02_dietRestricted_pig_31_mother_56_day_49,B
group_B__JAMOL02_dietRestricted_pig_32_mother_56_day_49,JAMOL02_dietRestricted_pig_32_mother_56_day_49,B
