,ASV_1,ASV_2,ASV_3,ASV_4,ASV_5,ASV_6,ASV_7,ASV_9,ASV_10,ASV_11,ASV_12,ASV_13,ASV_15,ASV_16,ASV_18,ASV_20,ASV_21,ASV_22,ASV_23,ASV_24,ASV_27,ASV_29,ASV_30,ASV_31,ASV_32,ASV_34,ASV_35,ASV_36,ASV_37,ASV_39,ASV_40,ASV_41,ASV_44,ASV_45,ASV_47,ASV_48,ASV_49,ASV_50,ASV_51,ASV_55,ASV_56,ASV_57,ASV_60,ASV_61,ASV_62,ASV_63,ASV_64,ASV_66,ASV_67,ASV_69,ASV_73,ASV_74,ASV_75,ASV_76,ASV_79,ASV_80,ASV_81,ASV_84,ASV_86,ASV_87,ASV_88,ASV_91,ASV_92,ASV_93,ASV_96,ASV_97,ASV_99,ASV_102,ASV_105,ASV_106,ASV_108,ASV_109,ASV_116,ASV_119,ASV_121,ASV_123,ASV_124,ASV_128,ASV_129,ASV_130,ASV_133,ASV_135,ASV_138,ASV_139,ASV_141,ASV_142,ASV_143,ASV_144,ASV_147,ASV_150,ASV_158,ASV_160,ASV_165,ASV_166,ASV_167,ASV_169,ASV_171,ASV_172,ASV_177,ASV_179,ASV_186,ASV_187,ASV_189,ASV_190,ASV_192,ASV_194,ASV_195,ASV_196,ASV_208,ASV_209,ASV_210,ASV_211,ASV_215,ASV_216,ASV_217,ASV_223,ASV_239,ASV_253,ASV_261,ASV_268,ASV_269,ASV_282,ASV_287,ASV_290,ASV_294,ASV_295,ASV_302,ASV_327,ASV_328,ASV_366,ASV_371,ASV_379,ASV_408,ASV_460
sample1,0.082262676,0.008106837,0.001121928,0.093481959,0.005030582,0.00499439,0.002786725,0.01172596,0.039846549,0.001411458,0.001990518,0.012739315,0.096196301,0.005826789,0.010784988,0.010459267,0,0.004053418,0,0.001411458,0.003619123,0.00380008,0.00557345,0.003763888,0.023234773,0.003003872,0.001556223,0,0,0.016141291,0.007455394,0,0.003293402,0.001339076,0.004958199,0.001230502,0.02374145,0.004523904,0.009156382,0,0.004596287,0.00293149,0,0.005971554,0,0.008903044,0.005537259,0,0.004415331,0,0.001302884,0.001809562,0.001447649,0.001013355,0.006984908,0.001375267,0.005790598,0,0,0,0,0,0.01085737,0.003619123,0,0.003582932,0.002026709,0.002207665,0.001592414,0.002316239,0.005645833,0.003184829,0.001737179,0,0,0.001194311,0.001121928,0,0.002243857,0,0,0,0.001918135,0,0.002207665,0,0.00115812,0,0.001447649,0.005139155,0.00235243,0,0,0.014838406,0,0,0.002859108,0,0.002280048,0.001592414,0,0,0,0.001592414,0.004632478,0.001121928,0.005139155,0.002497195,0.001990518,0,0.00293149,0.00470486,0.002678151,0,0.004668669,0,0.001121928,0,0.006188701,0.003040064,0,0,0,0,0,0.001447649,0,0.00115812,0,0.005066773,0.003329594,0,0,0.001737179
sample2,0.013001998,0.093124701,0.013255284,0.005881856,0.004193285,0.001182,0.019446712,0.016519855,0.003968142,0.013198998,0.00197,0.009540427,0.010919427,0.025159711,0.025159711,0.008639856,0.008105142,0.014324712,0.004699856,0,0.004671714,0.001182,0.001519714,0.004587285,0.005881856,0,0,0.016182141,0,0.012439141,0.004699856,0.001266428,0.009090142,0.004502856,0,0.001379,0.005853713,0.001547857,0.018996426,0,0.016885712,0.001069428,0.010919427,0,0.001125714,0.003574142,0.003405285,0.017054569,0,0.005290856,0.001238286,0.005797428,0.002645428,0.002364,0,0.012889427,0.001491571,0.003320857,0.001885571,0.001322714,0.001547857,0.003461571,0.003517857,0.020065854,0.011651141,0.00197,0.001773,0,0.002279571,0.003686714,0.001294571,0.005994428,0.005825571,0.002307714,0.001716714,0,0.001153857,0,0,0,0.004924999,0.001547857,0.005769285,0.008133285,0,0,0.001238286,0,0.002364,0,0.004277714,0,0.008048856,0,0.003799285,0.002955,0,0.001604143,0.002589142,0.010243999,0.001491571,0.018602426,0.002870571,0.002392143,0,0,0,0.001266428,0.003377142,0,0,0,0.001716714,0.001547857,0.004446571,0,0,0.008639856,0.004165142,0,0.001604143,0.002504714,0.005741142,0.003180142,0,0.022739425,0.006641713,0.003714857,0,0,0.005318999,0.001379,0.001125714,0.013086427
sample3,0.017784772,0.004127017,0.00617568,0.001454848,0.001840828,0,0.001098559,0.01003548,0.005091967,0.001514229,0.001825982,0.003741037,0.027300664,0.001336085,0,0.002449489,0.007170321,0.004705987,0.002048663,0,0,0.001989282,0.00173691,0.00559671,0.121019581,0.003458975,0,0,0.001276703,0,0,0.003295676,0,0.002271344,0,0.00250887,0.002004127,0.002746396,0.002286189,0,0.004483306,0.003132376,0.005240421,0.00768991,0,0,0.002301035,0,0,0.001529075,0,0.003176912,0.002167426,0,0.003874646,0,0,0,0,0,0.001321239,0.002449489,0.001306394,0.004320007,0,0.001766601,0,0.001336085,0,0.002063509,0.001781446,0.001306394,0,0,0.002479179,0,0,0,0,0,0,0,0.009337747,0,0,0,0,0.001425157,0.001410312,0,0,0,0,0.003815264,0.001217322,0,0,0,0.001440002,0.001603302,0.003904336,0,0.001825982,0,0,0,0,0.001306394,0,0.005225576,0,0,0,0.002449489,0.001232167,0,0,0.002286189,0,0,0,0,0.001217322,0,0,0.001677529,0.001781446,0,0.003414439,0,0,0.002523716,0,0.00173691
sample4,0.038146321,0.216777516,0.00798112,0.001587642,0.005492384,0.003818923,0.019738254,0.017807337,0.014460416,0.01308732,0,0.003947651,0.004162197,0.008024029,0.017893156,0,0,0,0.001587642,0,0,0.003389831,0.003346921,0.013301867,0.004677108,0.002617464,0,0.012958593,0,0.029693199,0.006221841,0.004376743,0.00287492,0.006951298,0.004805836,0.004076378,0.0051062,0.004720017,0.002402918,0.005664021,0.001973825,0.002917829,0.00227419,0.010727312,0.00283201,0.001973825,0.005964385,0.043595795,0,0.002617464,0.003690195,0,0.001501824,0.002789101,0.00454838,0.005964385,0.007509118,0.001029822,0.005664021,0.001029822,0,0.001458914,0.00399056,0.00626475,0,0.003346921,0.00399056,0.001930916,0.00283201,0.004162197,0.003003647,0.004462562,0.002960738,0,0,0.005749839,0.001244368,0.00454838,0,0.002016735,0.001930916,0.001501824,0,0,0,0.001373096,0.002703283,0.003904741,0,0.006608024,0.002917829,0,0,0,0,0,0,0.001501824,0,0.003089466,0,0.00283201,0,0,0.004376743,0.001630551,0.001330187,0,0.001845098,0.002145462,0,0,0.001501824,0,0,0,0.002617464,0,0,0.001330187,0.002402918,0,0,0,0.001544733,0,0,0,0,0,0,0,0,0
sample5,0.049672146,0.103895326,0,0.006706788,0.004730681,0.008982305,0.048414623,0.01003024,0.008892482,0,0.006287613,0.001107818,0.07425372,0.014042337,0.008892482,0,0.002844397,0,0.001526992,0.001437169,0,0.003173748,0.012724932,0.00413186,0.003682745,0.002574927,0.044522291,0.003562981,0.006437318,0.002634809,0.00146711,0.004760622,0.005209737,0.006437318,0,0.004311506,0.003682745,0.002455163,0.003952214,0.01443157,0.00706608,0.017755023,0.004580975,0.00236534,0.001646756,0,0,0,0.001616815,0.003772568,0.012545286,0.003652804,0.001077877,0.001287464,0.001287464,0.003503099,0.003143807,0.003622863,0.013203988,0,0.002844397,0.002275517,0.014072278,0.002275517,0.00176652,0,0.001826402,0.003113866,0.003113866,0.002694691,0.006407377,0.002395281,0.002604868,0,0.001227582,0,0.002515045,0.001556933,0.002694691,0.00206593,0.001107818,0,0.00826372,0.004970209,0.005479206,0.003742627,0,0.004491152,0.003024043,0.001137759,0,0.004371388,0.001107818,0.002574927,0.002185694,0.001257523,0,0,0.00353304,0,0.004670799,0,0.00206593,0.001526992,0,0.001197641,0,0,0.001976107,0.001107818,0.00146711,0.006706788,0.006437318,0,0,0,0.001586874,0.002694691,0,0.001107818,0,0,0,0.004640858,0.001317405,0.001077877,0,0,0.001347346,0.002335399,0.001946166,0.00206593,0.001796461,0
sample6,0.062960378,0.232353777,0.006719909,0.002196893,0.012897056,0.005117469,0.05820475,0.003411646,0.03166111,0.003954408,0.004471324,0.008063891,0.013646584,0.026078416,0.012431832,0.007598666,0.001964281,0,0,0,0.001395673,0.01028663,0.001188907,0.002662118,0.002119356,0.00997648,0,0.001137215,0,0.018453904,0.006228839,0.001550748,0,0.006694063,0,0.003928562,0,0.002558735,0.002998113,0,0,0,0.001163061,0,0,0,0.006177147,0.001473211,0,0.003851025,0,0,0.009304489,0,0,0.014499496,0.001990127,0.002765501,0.003566721,0.004161174,0,0.001757515,0,0.001860898,0,0,0.001757515,0,0.002377814,0.00178336,0.003721796,0.001550748,0.003670104,0.003463338,0,0.001576594,0,0.015223179,0.001731669,0.001447365,0.008038045,0.00289473,0,0,0.001085524,0.001214753,0.001214753,0,0.001473211,0,0.002145202,0,0.002791347,0,0.001550748,0,0,0.001421519,0,0.001188907,0,0,0.003515029,0,0.003023959,0.00111137,0.004600553,0.004548861,0,0.003230725,0,0,0.003153188,0.006513143,0,0,0.006151301,0,0.007159288,0,0.003540875,0,0,0,0,0.001085524,0,0.001809206,0.001266444,0.00160244,0.00708175,0,0.001318136,0.00111137
sample7,0.103060268,0.088682408,0.005398801,0,0.013894809,0.004461114,0.03242122,0.011166993,0.02031654,0,0.01480408,0.009661012,0.00491575,0.006847953,0.010683943,0.011280652,0,0,0.001165004,0.002500497,0,0,0.007586736,0.005853437,0,0.003722331,0.004660018,0.010115648,0,0.009661012,0.009689427,0.003608672,0.004176967,0.005285142,0,0,0.001704884,0.005171483,0.00161964,0,0.002074276,0,0.004120138,0.005768193,0,0.016736283,0.001108175,0,0.001392322,0,0.012417242,0.003125622,0.001960617,0,0.002074276,0.010172477,0,0,0.003693916,0,0.018355923,0.002045861,0.011337482,0.021339471,0,0.013099196,0,0.001591226,0.001648055,0.004461114,0.001534396,0.002926718,0.003523428,0.00113659,0.001960617,0.002074276,0,0.001165004,0.002102691,0,0,0.003608672,0.004944165,0,0.002017447,0,0,0,0,0,0.014662007,0,0.002017447,0,0,0.002614156,0,0,0,0.006450146,0.00437587,0.001307078,0,0,0.004631603,0,0,0.002273179,0.004574773,0.001903788,0,0.004347455,0.006819538,0.002131106,0.002131106,0.003324525,0.001648055,0.006791123,0.001307078,0,0,0,0.003125622,0.005285142,0.002500497,0.005540875,0,0,0,0.003097207,0,0.001392322,0.001193419,0.005796607
sample8,0.040645483,0.037653178,0.008798803,0.060487318,0.006198347,0.001318039,0.022014819,0.063515247,0.003277287,0.015567113,0.00185238,0.005557139,0.005058421,0.033734682,0.001816757,0.005913366,0.007088914,0.007267028,0.002101738,0,0,0.001175549,0.002315474,0.001816757,0.009475634,0.023867199,0,0,0.01777572,0.004630949,0.002885437,0.004132231,0.001282417,0,0.007338273,0,0.001638643,0.007373896,0.006910801,0,0.009475634,0.010758051,0.001424907,0.020376176,0.005414648,0,0.003882873,0,0,0,0.003277287,0.003277287,0.001709889,0,0.013358507,0.027785694,0,0.003776005,0,0.001638643,0,0,0,0.012289826,0.020447421,0.001211171,0.002956683,0.006982046,0.001567398,0.004417213,0,0.006412083,0,0.004844685,0.003882873,0,0,0,0,0,0.001603021,0,0.005521516,0.003954118,0,0,0,0,0.001104303,0,0,0.001318039,0.002671701,0.003099174,0,0,0.003419778,0.004524081,0,0,0,0.001211171,0.002992306,0.00199487,0,0,0,0.002992306,0.002279852,0,0,0,0.001816757,0.002849815,0,0.001923625,0.00438159,0.004666572,0,0.002778569,0,0.001674266,0,0,0,0.015816472,0,0.002172984,0,0,0,0,0,0
sample9,0.163720676,0.024168031,0.012929624,0.029732679,0.032515003,0.005182761,0.033824332,0.00943808,0.001800327,0,0.007855974,0.003164212,0.013966176,0,0.008837971,0.005673759,0,0,0,0.004255319,0,0.001582106,0.00365521,0.001309329,0,0.002891435,0.019749045,0.007201309,0,0.015548282,0.007364975,0.009274414,0.00223677,0.005237316,0,0,0.001582106,0.006055646,0.004200764,0.010474632,0.011183852,0.002400436,0.008510638,0.004255319,0.002400436,0.003709765,0.001309329,0.006437534,0.007364975,0.003327878,0.004418985,0.006710311,0.00365521,0,0.003709765,0,0,0.00141844,0.006873977,0,0.009383524,0.001854883,0,0.003982542,0,0.004146208,0.004418985,0.002564103,0.002291326,0,0.003764321,0.003273322,0.003491544,0,0.001091107,0,0,0.010310966,0.004637207,0.001145663,0.004528096,0.00141844,0.003818876,0,0.001800327,0,0,0.001309329,0,0,0,0.001363884,0.001909438,0,0,0.002345881,0,0,0.001854883,0.007201309,0.002727769,0,0,0,0.003164212,0.002836879,0,0.004855428,0.003600655,0,0,0,0.004800873,0,0,0.002291326,0,0.001963993,0.002018549,0,0,0,0,0,0.001036552,0,0,0,0,0.002291326,0,0.00152755,0,0.00212766
sample10,0.240451627,0,0.082351867,0.004595392,0.032076448,0.012812319,0.035424085,0.007364801,0.003317204,0.002525944,0.014242673,0.00526492,0.010986336,0.001247756,0.012264524,0.005782282,0,0.001673818,0.005599683,0.004747558,0.001399921,0.004017164,0.002465078,0.004047597,0,0.001369488,0,0,0,0.013481847,0.002738976,0.006543108,0,0.004899723,0.0037737,0.001126023,0,0.009464682,0.002891141,0.012203658,0.0074561,0.008399525,0,0.001247756,0.001217322,0.032685109,0,0,0.001308622,0,0.002099881,0.003225905,0.003165038,0.002160747,0,0.012112359,0,0.001399921,0,0.003469369,0,0.005112754,0.003438936,0.003012873,0.00228248,0,0.001065157,0.00188685,0.002860708,0.002860708,0,0.001369488,0.002738976,0,0,0.00109559,0,0.001399921,0.005082321,0,0,0,0.003438936,0.003134605,0.004443227,0.001399921,0,0.006269211,0,0.001978149,0.003651967,0.004230196,0.001825984,0.006847439,0.003012873,0.001856417,0,0,0,0,0,0.001978149,0.001247756,0,0,0.00109559,0,0.002099881,0.002434645,0.002921574,0.005051888,0,0.00447366,0.004686692,0.001247756,0,0,0.001643385,0.001034724,0,0.00219118,0.001186889,0.001399921,0,0,0,0,0.001947716,0.00228248,0.001065157,0,0.003347637,0,0
