,feature_no,feature_name,vNE,info_rich_feature,max_num_for_this_dataset
0,0,ASV_1,2.147361379623102,Yes,12
1,1,ASV_2,2.388733742954868,Yes,12
2,2,ASV_3,2.5343517601713565,Yes,12
3,3,ASV_4,2.2880513503743947,No,12
4,4,ASV_5,2.2873060365621685,No,12
5,5,ASV_6,2.2884659002551553,No,12
6,6,ASV_7,2.283685332637787,No,12
7,7,ASV_9,2.272086621184711,No,12
8,8,ASV_10,2.283831840990511,No,12
9,9,ASV_11,2.2649792419436525,No,12
10,10,ASV_12,2.2875838443270324,No,12
11,11,ASV_13,2.2838644861859603,No,12
12,12,ASV_15,2.2785836001154514,No,12
13,13,ASV_16,2.2792910360523453,No,12
14,14,ASV_18,2.272634099209959,No,12
15,15,ASV_19,2.256241191342407,No,12
16,16,ASV_20,2.2772187458547175,No,12
17,17,ASV_21,2.2480546075328993,Yes,12
18,18,ASV_22,2.250851342065216,No,12
19,19,ASV_23,2.25685160375912,No,12
20,20,ASV_24,2.288628024958403,No,12
21,21,ASV_25,2.2816826236791914,No,12
22,22,ASV_27,2.2701218358886024,No,12
23,23,ASV_29,2.2862720222054547,No,12
24,24,ASV_30,2.2859423350831887,No,12
25,25,ASV_31,2.2873072743230765,No,12
26,26,ASV_32,2.2868494777044197,No,12
27,27,ASV_34,2.287513124362868,No,12
28,28,ASV_35,2.286272486819084,No,12
29,29,ASV_37,2.2811107925193777,No,12
30,30,ASV_38,2.2887155589517825,No,12
31,31,ASV_39,2.2852865045916775,No,12
32,32,ASV_40,2.284523738460262,No,12
33,33,ASV_42,2.2805158592122567,No,12
34,34,ASV_44,2.286902153402484,No,12
35,35,ASV_45,2.288319239582277,No,12
36,36,ASV_47,2.2833480681872262,No,12
37,37,ASV_48,2.287414892508352,No,12
38,38,ASV_49,2.285359503452184,No,12
39,39,ASV_50,2.2884308490246927,No,12
40,40,ASV_51,2.285912505991408,No,12
41,41,ASV_53,2.2708158678121024,No,12
42,42,ASV_54,2.287581608777751,No,12
43,43,ASV_55,2.28595873555673,No,12
44,44,ASV_56,2.288553240929336,No,12
45,45,ASV_57,2.2818536023167275,No,12
46,46,ASV_58,2.2874839206729267,No,12
47,47,ASV_60,2.286608450378698,No,12
48,48,ASV_61,2.288680061259699,No,12
49,49,ASV_62,2.2871499307470495,No,12
50,50,ASV_64,2.2884136764263787,No,12
51,51,ASV_65,2.2886099114893717,No,12
52,52,ASV_67,2.2870635774037615,No,12
53,53,ASV_69,2.2884847214146475,No,12
54,54,ASV_70,2.288483304639652,No,12
55,55,ASV_73,2.2886927683594567,No,12
