,feature_no,feature_name,vNE,info_rich_feature,max_num_for_this_dataset
0,0,ASV_1,1.84294101181473,Yes,16
1,1,ASV_2,1.8271938361484912,Yes,16
2,2,ASV_3,2.048181874120374,No,16
3,3,ASV_4,2.032610265024322,No,16
4,4,ASV_5,2.070257838455129,No,16
5,5,ASV_6,2.0717191826171444,No,16
6,6,ASV_7,2.033620144997679,No,16
7,7,ASV_9,2.0567683611553274,No,16
8,8,ASV_10,2.057139236278157,No,16
9,9,ASV_11,2.0655661436493626,No,16
10,10,ASV_12,2.069521829577142,No,16
11,11,ASV_13,2.071113313424822,No,16
12,12,ASV_15,2.0146329744992677,No,16
13,13,ASV_16,2.058172987825704,No,16
14,14,ASV_17,2.073053191058156,No,16
15,15,ASV_18,2.063532585697235,No,16
16,16,ASV_20,2.0714572735141985,No,16
17,17,ASV_21,2.063880928623341,No,16
18,18,ASV_22,2.072112347910145,No,16
19,19,ASV_23,2.072669549316297,No,16
20,20,ASV_24,2.072959743327413,No,16
21,21,ASV_27,2.072686881395939,No,16
22,22,ASV_29,2.0709757057123395,No,16
23,23,ASV_30,2.070857877552905,No,16
24,24,ASV_31,2.0707658094745263,No,16
25,25,ASV_32,2.187031262600828,Yes,16
26,26,ASV_34,2.0690621248640113,No,16
27,27,ASV_35,2.0545604190376476,No,16
28,28,ASV_36,2.0688469520021258,No,16
29,29,ASV_37,2.069642695487484,No,16
30,30,ASV_38,2.072946759869185,No,16
31,31,ASV_39,2.0677991044670803,No,16
32,32,ASV_40,2.069790905113584,No,16
33,33,ASV_41,2.0726886868113916,No,16
34,34,ASV_42,2.0726919799912458,No,16
35,35,ASV_44,2.072391671756003,No,16
36,36,ASV_45,2.072483874612514,No,16
37,37,ASV_47,2.0645261425963417,No,16
38,38,ASV_48,2.072538162735108,No,16
39,39,ASV_49,2.0705670382393113,No,16
40,40,ASV_50,2.0714634533446117,No,16
41,41,ASV_51,2.070793234865108,No,16
42,42,ASV_53,2.0622387093554035,No,16
43,43,ASV_55,2.070677524204866,No,16
44,44,ASV_56,2.0725005804014107,No,16
45,45,ASV_57,2.070242736738071,No,16
46,46,ASV_58,2.0729993408776934,No,16
47,47,ASV_59,2.0519677003212857,No,16
48,48,ASV_60,2.0721370735715112,No,16
49,49,ASV_61,2.0714536707663247,No,16
50,50,ASV_62,2.072449692057946,No,16
51,51,ASV_63,2.0485088447287336,No,16
52,52,ASV_64,2.0726110093914016,No,16
53,53,ASV_65,2.0743118139556183,No,16
54,54,ASV_66,2.065030007944719,No,16
55,55,ASV_67,2.0726365113343475,No,16
56,56,ASV_69,2.072856378582985,No,16
57,57,ASV_70,2.072721246308823,No,16
58,58,ASV_71,2.0712612956557055,No,16
59,59,ASV_73,2.070761391526319,No,16
60,60,ASV_74,2.07293388813579,No,16
61,61,ASV_75,2.072204882533274,No,16
62,62,ASV_76,2.0729832564449873,No,16
63,63,ASV_77,2.1804586948137707,Yes,16
64,64,ASV_78,2.0724939565968774,No,16
65,65,ASV_79,2.0723478619030002,No,16
66,66,ASV_80,2.0601205540934897,No,16
67,67,ASV_81,2.0715223875021085,No,16
68,68,ASV_82,2.072933427955139,No,16
69,69,ASV_84,2.0704679676093183,No,16
70,70,ASV_86,2.0715156495403257,No,16
71,71,ASV_87,2.070921169220413,No,16
72,72,ASV_88,2.0673949357848036,No,16
73,73,ASV_91,2.072256498115616,No,16
74,74,ASV_92,2.0706638674388027,No,16
75,75,ASV_93,2.0686801820976495,No,16
76,76,ASV_94,2.072675167275337,No,16
77,77,ASV_96,2.0708571677434877,No,16
78,78,ASV_97,2.071486618929216,No,16
79,79,ASV_98,2.070281568526135,No,16
80,80,ASV_99,2.0729018671390143,No,16
81,81,ASV_101,2.0729244270391245,No,16
82,82,ASV_102,2.072857914126063,No,16
83,83,ASV_105,2.072973289004382,No,16
84,84,ASV_106,2.072863994890232,No,16
85,85,ASV_107,2.418870665856989,Yes,16
86,86,ASV_108,2.0724971685541065,No,16
87,87,ASV_109,2.072846669462286,No,16
88,88,ASV_112,2.07301437936145,No,16
89,89,ASV_114,2.0725550580283207,No,16
90,90,ASV_115,2.071522864185632,No,16
91,91,ASV_116,2.0728730730476363,No,16
92,92,ASV_117,2.072836714969424,No,16
93,93,ASV_119,2.0726862406074877,No,16
94,94,ASV_121,2.072903400514354,No,16
95,95,ASV_123,2.0728111293575915,No,16
96,96,ASV_124,2.0729943623939167,No,16
97,97,ASV_126,2.065936752145468,No,16
98,98,ASV_127,2.0728588451377146,No,16
99,99,ASV_128,2.070720832415505,No,16
100,100,ASV_129,2.072959837446679,No,16
101,101,ASV_130,2.0728288936236714,No,16
102,102,ASV_131,2.0726197774520076,No,16
103,103,ASV_132,2.0640798317926197,No,16
104,104,ASV_133,2.0724242044973655,No,16
105,105,ASV_135,2.0727687367475456,No,16
106,106,ASV_136,2.0694684024155268,No,16
107,107,ASV_138,2.0721798454764544,No,16
108,108,ASV_139,2.072563262763716,No,16
109,109,ASV_140,2.072798048440094,No,16
110,110,ASV_141,2.072380056990827,No,16
111,111,ASV_142,2.072728400007323,No,16
112,112,ASV_143,2.0727257643568566,No,16
113,113,ASV_144,2.0723863850533144,No,16
114,114,ASV_147,2.07297457750668,No,16
115,115,ASV_148,2.0728811270902527,No,16
116,116,ASV_150,2.0722995500165773,No,16
117,117,ASV_151,2.0724410143307823,No,16
118,118,ASV_152,2.0716421225771438,No,16
119,119,ASV_158,2.071187769458271,No,16
120,120,ASV_159,2.0729533988788655,No,16
121,121,ASV_160,2.069974007637125,No,16
122,122,ASV_161,2.0732396003522116,No,16
123,123,ASV_162,2.0730150398705223,No,16
124,124,ASV_163,2.0724780169256123,No,16
125,125,ASV_165,2.0729880810725176,No,16
126,126,ASV_166,2.072290113099201,No,16
127,127,ASV_167,2.0726929852253275,No,16
128,128,ASV_169,2.07279655143224,No,16
129,129,ASV_170,2.0731299667425986,No,16
130,130,ASV_171,2.072897552073411,No,16
131,131,ASV_172,2.0729616953091368,No,16
132,132,ASV_174,2.0729970364330934,No,16
133,133,ASV_177,2.072376886203586,No,16
134,134,ASV_179,2.072698919133062,No,16
135,135,ASV_180,2.072006306854563,No,16
136,136,ASV_182,2.072823671292996,No,16
137,137,ASV_183,2.0719019336228297,No,16
138,138,ASV_186,2.06963493459582,No,16
139,139,ASV_187,2.0729906999495626,No,16
140,140,ASV_189,2.072240986142658,No,16
141,141,ASV_190,2.0722451090220324,No,16
142,142,ASV_192,2.0727528717021158,No,16
143,143,ASV_194,2.0729656649399675,No,16
144,144,ASV_195,2.072423926396648,No,16
145,145,ASV_196,2.072754628544123,No,16
146,146,ASV_197,2.072882139616929,No,16
147,147,ASV_200,2.073034965268103,No,16
148,148,ASV_201,2.072791817907226,No,16
149,149,ASV_204,2.073006568873383,No,16
150,150,ASV_205,2.0714975266183204,No,16
151,151,ASV_206,2.0729075755489146,No,16
152,152,ASV_208,2.0728554296477495,No,16
153,153,ASV_209,2.0730281592722988,No,16
154,154,ASV_210,2.072666084162224,No,16
155,155,ASV_211,2.071704705253761,No,16
156,156,ASV_212,2.0729535087081703,No,16
157,157,ASV_215,2.0724411339782103,No,16
158,158,ASV_216,2.07261881821171,No,16
159,159,ASV_217,2.0727713764766325,No,16
160,160,ASV_218,2.073021290283865,No,16
161,161,ASV_220,2.0729472918732346,No,16
162,162,ASV_222,2.073058230369324,No,16
163,163,ASV_223,2.0729258309044467,No,16
164,164,ASV_225,2.07297755972453,No,16
165,165,ASV_229,2.0730081374725513,No,16
166,166,ASV_239,2.072585996826535,No,16
167,167,ASV_240,2.072992982530232,No,16
168,168,ASV_241,2.0730412925495854,No,16
169,169,ASV_243,2.0730154278709634,No,16
170,170,ASV_246,2.0727651156407325,No,16
171,171,ASV_251,2.072976841978043,No,16
172,172,ASV_253,2.0725441899728057,No,16
173,173,ASV_254,2.0730216790933746,No,16
174,174,ASV_256,2.073037040207135,No,16
175,175,ASV_258,2.0730015228956407,No,16
176,176,ASV_259,2.0730537302890713,No,16
177,177,ASV_260,2.0728424941389623,No,16
178,178,ASV_261,2.0721522294467998,No,16
179,179,ASV_267,2.072695453232085,No,16
180,180,ASV_268,2.0729892656888778,No,16
181,181,ASV_269,2.071932856172978,No,16
182,182,ASV_271,2.0730218731948566,No,16
183,183,ASV_273,2.070401183179509,No,16
184,184,ASV_280,2.071723406950533,No,16
185,185,ASV_282,2.0724070428800605,No,16
186,186,ASV_283,2.0729820514776938,No,16
187,187,ASV_284,2.072968880567278,No,16
188,188,ASV_287,2.0729408091546975,No,16
189,189,ASV_290,2.0720393891291153,No,16
190,190,ASV_291,2.0730004837475966,No,16
191,191,ASV_292,2.0730285922188645,No,16
192,192,ASV_294,2.0729954992032598,No,16
193,193,ASV_295,2.071537644311111,No,16
194,194,ASV_298,2.0730104092964017,No,16
195,195,ASV_300,2.0724021053179253,No,16
196,196,ASV_302,2.072778446086905,No,16
197,197,ASV_303,2.072043068917478,No,16
198,198,ASV_304,2.0730472581379593,No,16
199,199,ASV_305,2.071045735345527,No,16
200,200,ASV_307,2.072862538352077,No,16
201,201,ASV_308,2.0730321314079023,No,16
202,202,ASV_309,2.072993959889276,No,16
203,203,ASV_310,2.0728815695659404,No,16
204,204,ASV_313,2.072997416876564,No,16
205,205,ASV_316,2.073013794096792,No,16
206,206,ASV_317,2.072021355411086,No,16
207,207,ASV_322,2.0730823296799263,No,16
208,208,ASV_324,2.072994060184503,No,16
209,209,ASV_325,2.0730471652350344,No,16
210,210,ASV_327,2.0729659763524215,No,16
211,211,ASV_328,2.072147794629671,No,16
212,212,ASV_340,2.072977991031884,No,16
213,213,ASV_342,2.07302079771351,No,16
214,214,ASV_343,2.0730544267968867,No,16
215,215,ASV_344,2.072895536562645,No,16
216,216,ASV_345,2.0730469519371946,No,16
217,217,ASV_348,2.073053673682071,No,16
218,218,ASV_357,2.073030355644732,No,16
219,219,ASV_361,2.0730423624769867,No,16
220,220,ASV_365,2.0729888521541326,No,16
221,221,ASV_366,2.0728698073015837,No,16
222,222,ASV_369,2.072879896517413,No,16
