,ASV_1,ASV_2,ASV_3,ASV_5,ASV_6,ASV_7,ASV_9,ASV_10,ASV_11,ASV_13,ASV_15,ASV_16,ASV_18,ASV_19,ASV_20,ASV_21,ASV_22,ASV_23,ASV_25,ASV_27,ASV_29,ASV_30,ASV_31,ASV_32,ASV_34,ASV_37,ASV_39,ASV_40,ASV_42,ASV_45,ASV_47,ASV_48,ASV_49,ASV_50,ASV_51,ASV_53,ASV_54,ASV_55,ASV_57,ASV_60,ASV_62,ASV_64,ASV_67,ASV_69,ASV_76,ASV_78,ASV_79,ASV_81,ASV_84,ASV_87,ASV_89,ASV_91,ASV_92,ASV_93,ASV_94,ASV_96,ASV_100,ASV_102,ASV_105,ASV_106,ASV_108,ASV_117,ASV_119,ASV_120,ASV_121,ASV_124,ASV_127,ASV_130,ASV_131,ASV_135,ASV_136,ASV_138,ASV_139,ASV_143,ASV_156,ASV_157,ASV_162,ASV_166,ASV_168,ASV_169,ASV_171,ASV_172,ASV_174,ASV_177,ASV_180,ASV_182,ASV_187,ASV_190,ASV_192,ASV_197,ASV_200,ASV_204,ASV_216,ASV_217,ASV_228,ASV_240,ASV_243,ASV_245,ASV_246,ASV_267,ASV_268,ASV_269,ASV_280,ASV_282,ASV_301,ASV_313,ASV_320,ASV_325,ASV_327,ASV_328,ASV_333,ASV_348,ASV_353,ASV_367,ASV_372,ASV_377,ASV_417,ASV_440,ASV_447,ASV_458,ASV_459,ASV_494,ASV_509,ASV_567,ASV_587,ASV_631
group_A__JAMOL02_fullFed_pig_1_mother_54_day_49,0.19437200557947723,0.03656983443507793,0.021711443992965006,0.020134635211353023,0.004427193886833647,0.005761416702043787,0.005397537752441021,0.004912365819637334,0.0061556188974467825,0.014221602280308084,0.037055006367881616,0.003911698708229729,0.004548486870034569,0.0016071320274122143,0.017526836072533206,0.0065194978470495485,0.008338892595063376,0.01461580447571108,0.0,0.0,0.004123961428831342,0.0065801443386500095,0.0,0.0020013342228152103,0.002577475893019589,0.0010916368488082964,0.026350900600400268,0.0029413548426223545,0.0,0.006307235126447935,0.0,0.007429195221056462,0.0015768087816119838,0.003851052216629268,0.002577475893019589,0.007034993025653466,0.00266844563042028,0.010734429013281581,0.0,0.002911031596822124,0.0017587482564133665,0.002456182909818667,0.012220268057492874,0.00133422281521014,0.0,0.0033052337922251196,0.0060949724058463215,0.0025471526472193584,0.002061980714415671,0.004275577657832494,0.003578143004427194,0.001789071502213597,0.008429862332464066,0.0,0.0,0.0036994359876281156,0.004942689065437564,0.0018193947480138273,0.002456182909818667,0.001455515798411062,0.0,0.0016071320274122143,0.0,0.0,0.0,0.0,0.0,0.0031536175632239675,0.0,0.002516829401419128,0.0,0.0020013342228152103,0.003669112741827885,0.0018497179938140578,0.001121960094608527,0.009612468918673055,0.0,0.0,0.0,0.0,0.0,0.001061313603008066,0.0,0.0016981017648129055,0.0,0.0024865061556188974,0.0,0.0013645460610103705,0.0019406877312147493,0.0,0.0,0.0010006671114076052,0.0,0.0,0.0,0.0,0.001121960094608527,0.004487840378434108,0.010522166292679968,0.0,0.0,0.0,0.004487840378434108,0.0010309903572078354,0.003244587300624659,0.0015161622900115228,0.0,0.001789071502213597,0.0,0.004518163624234338,0.0,0.0,0.0,0.0,0.001667778519012675,0.0,0.0,0.0,0.0020013342228152103,0.0,0.0,0.0,0.0,0.0,0.004002668445630421,0.0
group_A__JAMOL02_fullFed_pig_10_mother_49_day_49,0.0,0.04354696647842081,0.12318014610641935,0.0,0.0,0.01396300709807782,0.031267809958033264,0.002253769234754676,0.018807315683125228,0.007486658722345992,0.0034713227293922595,0.018910937257136936,0.0,0.056758717164913736,0.0067613077042640276,0.07287187192373452,0.05613698772084348,0.010569400549194342,0.0,0.03041293197243666,0.01240868348790218,0.0038858090254390966,0.006372726801720118,0.0014507020361639294,0.00404124138645666,0.024791461582301434,0.0030568364333454223,0.0,0.00885964457800114,0.0,0.02455831304077509,0.0,0.006657686130252319,0.0024351069892751672,0.0017097559711932023,0.002616444743795658,0.0,0.0032899849748717685,0.009973576498627014,0.0,0.0037044712709186052,0.0,0.0,0.0,0.007952955805398685,0.00538832184860888,0.0,0.0,0.0031345526138542045,0.005854618931661572,0.002098336873737112,0.0,0.008548779855966013,0.003160458007357132,0.015413709134241749,0.0,0.0,0.0014507020361639294,0.0021501476607429667,0.0017615667581990571,0.0,0.0,0.0,0.0,0.0,0.002927309465830786,0.02549090720688047,0.004973835552562043,0.0,0.0,0.001424796642661002,0.0027459717113102948,0.0020465260867312575,0.0,0.0,0.0,0.004637065437023988,0.011139319206258743,0.006217294440702554,0.0,0.009274130874047977,0.006631780736749391,0.0,0.001088026527122947,0.0010362157401170924,0.0,0.001580229003678566,0.0070462670327962286,0.0,0.0022278638412517484,0.005310605668100098,0.0,0.0,0.0,0.001502512823169784,0.002072431480234185,0.0,0.002512823169783949,0.0,0.0023055800217605307,0.0015284182166727112,0.0,0.0,0.0016579451841873477,0.004300295321485933,0.001502512823169784,0.0,0.0,0.0,0.003264079581368841,0.0012952696751463654,0.0,0.0,0.0,0.0,0.0,0.001165742707631729,0.0033158903683746955,0.0,0.0032899849748717685,0.0,0.0012693642816434382,0.0,0.002098336873737112,0.0,0.002616444743795658
group_A__JAMOL02_fullFed_pig_11_mother_49_day_49,0.0031011084159783845,0.2260431698854739,0.31965979919555404,0.0,0.0,0.0,0.0,0.023764929841260093,0.0,0.04768337990113298,0.0,0.0,0.0,0.0,0.04086708219472505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19690503239276613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07344407258435937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006724185575240259,0.0
group_A__JAMOL02_fullFed_pig_12_mother_49_day_49,0.0,0.0,0.03485175001857769,0.0,0.0,0.0,0.05756607465755121,0.010898912585767011,0.027544524534938445,0.02278863540660375,0.0,0.012186965891357657,0.0,0.06814297391692056,0.030071090634366252,0.08746377350078026,0.008273265462832231,0.011270466423918159,0.0,0.025612444576552477,0.01684377399618538,0.001089891258576701,0.0,0.0,0.0013375938173441331,0.020187758539545714,0.0,0.0,0.015555720690594734,0.0,0.011642020262069307,0.0,0.005152213222362587,0.004607267593074236,0.0030715117287161576,0.0,0.0,0.0,0.006564117807336949,0.004012781452032399,0.002179782517153402,0.0,0.0,0.0,0.0025761066111812934,0.10713135666691437,0.0022045527730301454,0.0,0.0026008768670580367,0.0,0.0041366327314161155,0.0,0.0,0.0,0.015630031458224964,0.004334794778430061,0.0017586881672487676,0.0,0.0025513363553045505,0.0013375938173441331,0.0,0.0,0.006217334225062545,0.0,0.0012880533055906467,0.0,0.010874142329890268,0.0,0.002179782517153402,0.0,0.008793440836243838,0.004235713754923089,0.004310024522553318,0.0,0.0,0.0,0.0,0.005920091154541627,0.008075103415818286,0.0,0.009313616209655446,0.002873349681702212,0.0011642020262069308,0.0,0.0,0.001659607143741795,0.0,0.0,0.0,0.008743900324490352,0.005598077828143965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002303633796537118,0.0,0.0028238091699487257,0.0,0.002402714820044091,0.0,0.0019073097025092268,0.0034182953109905627,0.0,0.0,0.0,0.003096281984592901,0.0,0.0027494984023184958,0.043397488296054096,0.0,0.0,0.0015852963761115652,0.0018825394466324837,0.0,0.0017586881672487676,0.0,0.0038146194050184537,0.0024770255876743206,0.0,0.0065393475514602065,0.0015605261202348221
group_A__JAMOL02_fullFed_pig_13_mother_49_day_49,0.04633354604222734,0.008656327164775407,0.003329356601836695,0.006242543628443804,0.0,0.009433177038537303,0.04214410565158283,0.011347557084593403,0.01845018450184502,0.01048747329578559,0.0,0.0043281635823877035,0.0010265516188996476,0.042366062758371945,0.012651555086979441,0.04128402186277502,0.058263740532142165,0.01173598202147435,0.0,0.0011930194489914825,0.014704658324778736,0.007435563077435286,0.003273867325139417,0.0,0.0043281635823877035,0.009017007463307716,0.00729683988569209,0.0,0.007796243375967594,0.0,0.005965097244957412,0.006381266820186999,0.001553699747523791,0.004522376050828177,0.0029964209416530256,0.04425269816607941,0.0016924229392669867,0.0,0.02976999694808978,0.0038287600921121994,0.012762533640373998,0.001109785533945565,0.0,0.0014704658324778738,0.003301611963488056,0.01648031517909164,0.012929001470465832,0.004050717198901313,0.0051327580944982385,0.0014427211941292345,0.006603223926976112,0.001553699747523791,0.004605609965874095,0.0013594872790833172,0.0020808478761479344,0.0028576977499098297,0.0,0.002635740643120717,0.0023305496212856864,0.0,0.0,0.001775656854312904,0.0,0.014399467302943706,0.0011375301722942042,0.0,0.016091890242210694,0.010903642871015176,0.0014149765557805955,0.0012762533640373998,0.0014149765557805955,0.004799822434314568,0.004161695752295869,0.0014427211941292345,0.003579058346974447,0.0014427211941292345,0.00380101545376356,0.00443914213578226,0.021807285742030353,0.0023582942596343257,0.002580251366423439,0.0011652748106428432,0.0,0.0,0.0,0.002191826429542491,0.0,0.0,0.0,0.0027744638348639124,0.0,0.0019143800460560997,0.003523569070277169,0.0,0.0,0.0036900369003690036,0.0,0.023250006936159587,0.0,0.0014704658324778738,0.0,0.0010820408955969259,0.0,0.001553699747523791,0.009766112698720972,0.0011652748106428432,0.0,0.0019143800460560997,0.002497017451377521,0.004910800987709125,0.0,0.002829953111561191,0.0,0.003745526177066282,0.0,0.0,0.001109785533945565,0.005299225924590073,0.0018866354077074605,0.0,0.0018588907693588214,0.0,0.0013872319174319562,0.0,0.0032183780484421384,0.0
group_A__JAMOL02_fullFed_pig_2_mother_54_day_49,0.10663306109589706,0.043671085476092386,0.07062016818941909,0.012868671691345758,0.0016237307030511597,0.002762765673848242,0.022441412403363788,0.02408937789302765,0.039817754404672466,0.017836802946950052,0.0,0.027845769817996753,0.03509197101519521,0.0268763783534886,0.021472020938855634,0.001987252502241718,0.016503889683251338,0.040181276203863026,0.015922254804546447,0.019169716210648766,0.007537018636550905,0.001744904636114679,0.0,0.012165862879577344,0.003683687565130989,0.02299881249545598,0.014225819741657176,0.0,0.0,0.0,0.019242420570486876,0.0014783219833749365,0.009984732084433996,0.0016479654896638634,0.0,0.0015267915566003442,0.0010663306109589706,0.0,0.0,0.003732157138356397,0.004895426895766183,0.004822722535928071,0.0,0.0,0.008288297021544726,0.014952863340038291,0.00193878292901631,0.004822722535928071,0.003998739791096139,0.0030051135399752804,0.00894263626008773,0.0,0.0,0.0,0.0,0.002883939606911761,0.0,0.007682427356227128,0.002883939606911761,0.00269006131401013,0.0030778178998133923,0.0,0.0072219664105857544,0.0,0.0,0.0030778178998133923,0.00462884424302644,0.001381382836924121,0.0,0.0,0.010978358335554855,0.0,0.0072219664105857544,0.0054528269878583715,0.0,0.0,0.0,0.0014783219833749365,0.0016237307030511597,0.0,0.006809975038169789,0.004798487749315367,0.0011148001841843782,0.0,0.0,0.0,0.0,0.009233453699440177,0.0,0.0022053655817560525,0.004289557230448586,0.0010905653975716743,0.0,0.0,0.005695174853985411,0.0017933742093400869,0.002641591740784722,0.0,0.005258948694956741,0.0,0.0013086784770860093,0.0014056176235368247,0.0,0.0023507743014322758,0.0010905653975716743,0.006543392385430047,0.0016964350628892713,0.0,0.0,0.0,0.002883939606911761,0.0,0.001163269757409786,0.00419261808399777,0.0,0.0015267915566003442,0.0031989918328769115,0.0,0.0,0.0012359741172478977,0.006252574946077599,0.0010905653975716743,0.0,0.0015025567699876402,0.0056709400673727066,0.0
group_A__JAMOL02_fullFed_pig_3_mother_54_day_49,0.18571533796557735,0.03157455375776474,0.009673696874462914,0.03373517640992904,0.01679393061454983,0.0056470819317930715,0.009354513982665914,0.011367821454000835,0.014485992781556139,0.007758599523680915,0.016032802180264677,0.004321245304328611,0.005106926268751995,0.0,0.008396965307274915,0.0253136585725159,0.027498833754818434,0.0,0.0013994942178791525,0.0011785214466350758,0.004984163618060841,0.007071128679810455,0.007734046993542684,0.017898794470770214,0.0,0.013012840973262295,0.03096074050430897,0.005769844582484225,0.0,0.005106926268751995,0.01910186844754352,0.003854747231702227,0.0039038522919786884,0.0032409339782464583,0.00530334650985784,0.005917159763313609,0.02175354170247244,0.006089027474281225,0.0012767315671879987,0.0028235409658965357,0.014485992781556139,0.004566770605710918,0.0037319845810110733,0.0,0.003830194701563996,0.003560116870043458,0.0161310123008176,0.0015222568685703062,0.0031918289179699967,0.001153968916496845,0.0,0.0,0.009992879766259913,0.00164501951926146,0.0,0.0025780156645142283,0.0,0.004517665545434457,0.0019642024110584594,0.0,0.0012030739767733066,0.0012276265069115372,0.0,0.017064008446070367,0.0,0.0,0.0,0.0014731518082938446,0.0,0.0013012840973262295,0.0017677821699526137,0.0,0.0030199612070023816,0.0012276265069115372,0.003093618797417074,0.002676225785067151,0.0,0.0024552530138230743,0.0029217510864494585,0.0013994942178791525,0.0017677821699526137,0.0,0.001252179037049768,0.0,0.0014240467480173833,0.00297085614672592,0.0,0.00198875494119669,0.002406147953546613,0.0,0.0019642024110584594,0.0013994942178791525,0.0,0.0,0.0,0.0,0.0015959144589849984,0.004566770605710918,0.0070956812099486856,0.0,0.0,0.0,0.0,0.0015222568685703062,0.0010803113260821528,0.00198875494119669,0.0011048638562203834,0.001915097350781998,0.0013994942178791525,0.0,0.0,0.0,0.0,0.0,0.005205136389304918,0.0,0.0,0.0014977043384320754,0.0010803113260821528,0.0,0.001350389157602691,0.0023815954234083824,0.0,0.0,0.001546809398708537,0.0012767315671879987
group_A__JAMOL02_fullFed_pig_4_mother_54_day_49,0.013310921315646011,0.019194075958568053,0.06753134653825187,0.002816645466109395,0.0,0.01567326912593131,0.016968017445029984,0.00558786116663638,0.02046610939487552,0.03259585680537888,0.008972378702525895,0.024645647828457205,0.014878248228239143,0.0,0.031891695438851536,0.014696529165909505,0.004542976558240959,0.037343267308740685,0.01235689623841541,0.011107577684899147,0.013946938033799745,0.004997274214065055,0.002907504997274214,0.0,0.0036798110121751774,0.015355260766854444,0.010585135380701436,0.01689987279665637,0.0068598946029438486,0.0,0.005656005815009995,0.005519716518262766,0.0018853352716699983,0.002135198982373251,0.002566781755406142,0.0037933854261312013,0.008109213156460113,0.001998909685626022,0.00501998909685626,0.002907504997274214,0.004429402144284935,0.0038615300745048157,0.0,0.0,0.0013401780846810831,0.005883154642922043,0.0040886789024168636,0.0,0.005701435580592404,0.0010448846083954207,0.01449209522078866,0.0,0.006791749954570234,0.0,0.0,0.003906959840087225,0.0014310376158459023,0.008313647101580956,0.0023850626930765036,0.0034299473014719243,0.013606214791931673,0.011584590223514447,0.0013401780846810831,0.015128111938942396,0.0028847901144830094,0.0,0.0,0.0,0.0016581864437579502,0.0031119389423950572,0.0,0.0,0.0034980919498455386,0.0022714882791204797,0.0,0.0014764673814283119,0.0,0.0,0.0029529347628566237,0.0029983645284390333,0.0066554606578230055,0.0032936580047246956,0.005837724877339633,0.0026803561693621663,0.0,0.0,0.0020670543339996366,0.0010903143739778303,0.003225513356351081,0.005883154642922043,0.004906414682900236,0.0018853352716699983,0.0,0.002362347810285299,0.0,0.0016581864437579502,0.0,0.0,0.025463383608940578,0.0,0.0016581864437579502,0.00397510448846084,0.0,0.0,0.0,0.0034072324186807195,0.0,0.0012947483190986733,0.00222605851353807,0.0013856078502634927,0.0010448846083954207,0.002612211520988552,0.001794475740505179,0.0011811739051426494,0.0023850626930765036,0.0016354715609667454,0.0,0.0013174632018898784,0.0013401780846810831,0.0,0.0028393603489006,0.004611121206614574,0.006791749954570234,0.0,0.005656005815009995,0.0
group_A__JAMOL02_fullFed_pig_5_mother_54_day_49,0.009116044786334146,0.008678036628432204,0.05050781570806756,0.0016972816118700211,0.0,0.018368967122012646,0.020613758931260096,0.0016972816118700211,0.023296558898409484,0.015357661036436803,0.023351309918147226,0.018916477319390074,0.020038873224013796,0.0,0.010074187631744641,0.020860138520079938,0.02044950587204687,0.057734950313449586,0.00815790194092365,0.016288428371978428,0.01382463248378001,0.02044950587204687,0.0033671877138711707,0.0,0.009937310082400284,0.011798844753483534,0.007637767253415095,0.005064469325741192,0.02641736702346081,0.0,0.012620110049549672,0.011141832516630623,0.015823044704207617,0.001943661200689863,0.0014782775329190505,0.006597497878397985,0.0,0.01300336718771387,0.0,0.008924416217252045,0.0,0.0,0.0021626652796408333,0.0,0.0055298529935120045,0.0010128938651482384,0.0041884530099373105,0.0013687754934435653,0.013906759013386625,0.002326918338854061,0.013112869227189357,0.0,0.0,0.0,0.0,0.012537983519943058,0.004954967286265707,0.0,0.003285061184264557,0.0020805387500342195,0.03460264447425333,0.008240028470530264,0.01486490185879712,0.0,0.0030386815954447153,0.002491171398067289,0.0,0.011442963125188207,0.0,0.0,0.003476689753346656,0.0,0.0073640121547263815,0.006926003996824441,0.0017246571217388923,0.001067644884885981,0.0017520326316077636,0.002135289769771962,0.013715130444304524,0.0,0.0,0.0034219387336089134,0.002217416299378576,0.0,0.0023816693585918037,0.0015604040625256646,0.0029839305757069726,0.005502477483643133,0.0,0.0024090448684606753,0.004954967286265707,0.00229954282898519,0.0044074570888882805,0.0012866489638369515,0.014290016151550823,0.0,0.001423526513181308,0.0,0.005447726463905391,0.006049987681020559,0.0037230693421664977,0.0,0.0025185469079361603,0.002600673437542774,0.0,0.006898628486955569,0.004626461167839251,0.0,0.002573297927673903,0.0,0.004215828519806181,0.0015330285526567932,0.001149771414492595,0.0,0.006323742779709272,0.0014509020230501794,0.002244791809247447,0.0011771469243614663,0.0,0.0023542938487229326,0.001423526513181308,0.003805195871773112,0.0034493142434777846,0.0,0.0,0.0033671877138711707
group_A__JAMOL02_fullFed_pig_6_mother_54_day_49,0.03500811346835747,0.011418955466073683,0.043993028427189135,0.0037562353506821323,0.0,0.0,0.02668429593124587,0.0021936414447983653,0.010908107458380912,0.01183965382535008,0.025452250736222128,0.01715848308191598,0.004958230662900414,0.0,0.010607608630326342,0.00940561331810806,0.0027044894524911353,0.04886110944167318,0.007392271170142436,0.0,0.0057395276158422985,0.01183965382535008,0.006280425506340525,0.005258729490954985,0.008654366247971633,0.013432297614039305,0.01072780816154817,0.0037562353506821323,0.02941883526654246,0.007572570466975179,0.007001622693671494,0.0024941402728529357,0.004747881483262216,0.0043271831239858165,0.006911473045255124,0.002133541679187451,0.004297133241180359,0.010787907927159083,0.0,0.012530801129875594,0.003666085702265761,0.0024340405072420216,0.005769577498647756,0.002073441913576537,0.0,0.0,0.0,0.0,0.016377186128974097,0.0,0.005318829256565899,0.0048981308972895,0.0015024941402728528,0.0,0.0,0.00408678406154216,0.0035458861710439328,0.00919526413846986,0.0028547388665184207,0.003155237694572991,0.0,0.002013342147965623,0.0021635915619929082,0.008143518240278863,0.009766211911773544,0.0,0.0,0.0,0.0,0.0023138409760201937,0.0,0.0035458861710439328,0.0,0.002373940741631108,0.0011418955466073683,0.0,0.0012620950778291964,0.01072780816154817,0.0,0.0,0.0,0.0,0.0010817957809964541,0.00102169601538554,0.0010817957809964541,0.0,0.0,0.0012620950778291964,0.0,0.0032453873429893624,0.0037562353506821323,0.0035458861710439328,0.003455736522627562,0.001472444257467396,0.0,0.002584289921269307,0.003185287577378448,0.0,0.0,0.003125187811767534,0.0,0.0,0.0,0.0,0.0,0.0,0.0016226936714946812,0.004417332772402188,0.0010817957809964541,0.0,0.0011418955466073683,0.0024640903900474786,0.0,0.0,0.0,0.0012019953122182825,0.0,0.0,0.0,0.0,0.0,0.003125187811767534,0.0,0.0013822946090510247,0.0,0.0
