,ASV_1,ASV_2,ASV_3,ASV_5,ASV_6,ASV_7,ASV_9,ASV_10,ASV_11,ASV_13,ASV_15,ASV_16,ASV_18,ASV_19,ASV_20,ASV_21,ASV_22,ASV_23,ASV_25,ASV_27,ASV_29,ASV_30,ASV_31,ASV_32,ASV_34,ASV_37,ASV_39,ASV_40,ASV_42,ASV_45,ASV_47,ASV_48,ASV_49,ASV_50,ASV_51,ASV_53,ASV_54,ASV_55,ASV_57,ASV_60,ASV_62,ASV_64,ASV_67,ASV_69,ASV_76,ASV_78,ASV_79,ASV_81,ASV_84,ASV_87,ASV_89,ASV_91,ASV_92,ASV_93,ASV_94,ASV_96,ASV_100,ASV_102,ASV_105,ASV_106,ASV_108,ASV_117,ASV_119,ASV_120,ASV_121,ASV_124,ASV_127,ASV_130,ASV_131,ASV_135,ASV_136,ASV_138,ASV_139,ASV_143,ASV_156,ASV_157,ASV_162,ASV_166,ASV_168,ASV_169,ASV_171,ASV_172,ASV_174,ASV_177,ASV_180,ASV_182,ASV_187,ASV_190,ASV_192,ASV_197,ASV_200,ASV_204,ASV_216,ASV_217,ASV_228,ASV_240,ASV_243,ASV_245,ASV_246,ASV_267,ASV_268,ASV_269,ASV_280,ASV_282,ASV_301,ASV_313,ASV_320,ASV_325,ASV_327,ASV_328,ASV_333,ASV_348,ASV_353,ASV_367,ASV_372,ASV_377,ASV_417,ASV_440,ASV_447,ASV_458,ASV_459,ASV_494,ASV_509,ASV_567,ASV_587,ASV_631
sample_1,0.194372006,0.036569834,0.021711444,0.020134635,0.004427194,0.005761417,0.005397538,0.004912366,0.006155619,0.014221602,0.037055006,0.003911699,0.004548487,0.001607132,0.017526836,0.006519498,0.008338893,0.014615804,0,0,0.004123961,0.006580144,0,0.002001334,0.002577476,0.001091637,0.026350901,0.002941355,0,0.006307235,0,0.007429195,0.001576809,0.003851052,0.002577476,0.007034993,0.002668446,0.010734429,0,0.002911032,0.001758748,0.002456183,0.012220268,0.001334223,0,0.003305234,0.006094972,0.002547153,0.002061981,0.004275578,0.003578143,0.001789072,0.008429862,0,0,0.003699436,0.004942689,0.001819395,0.002456183,0.001455516,0,0.001607132,0,0,0,0,0,0.003153618,0,0.002516829,0,0.002001334,0.003669113,0.001849718,0.00112196,0.009612469,0,0,0,0,0,0.001061314,0,0.001698102,0,0.002486506,0,0.001364546,0.001940688,0,0,0.001000667,0,0,0,0,0.00112196,0.00448784,0.010522166,0,0,0,0.00448784,0.00103099,0.003244587,0.001516162,0,0.001789072,0,0.004518164,0,0,0,0,0.001667779,0,0,0,0.002001334,0,0,0,0,0,0.004002668,0
sample_2,0,0.043546966,0.123180146,0,0,0.013963007,0.03126781,0.002253769,0.018807316,0.007486659,0.003471323,0.018910937,0,0.056758717,0.006761308,0.072871872,0.056136988,0.010569401,0,0.030412932,0.012408683,0.003885809,0.006372727,0.001450702,0.004041241,0.024791462,0.003056836,0,0.008859645,0,0.024558313,0,0.006657686,0.002435107,0.001709756,0.002616445,0,0.003289985,0.009973576,0,0.003704471,0,0,0,0.007952956,0.005388322,0,0,0.003134553,0.005854619,0.002098337,0,0.00854878,0.003160458,0.015413709,0,0,0.001450702,0.002150148,0.001761567,0,0,0,0,0,0.002927309,0.025490907,0.004973836,0,0,0.001424797,0.002745972,0.002046526,0,0,0,0.004637065,0.011139319,0.006217294,0,0.009274131,0.006631781,0,0.001088027,0.001036216,0,0.001580229,0.007046267,0,0.002227864,0.005310606,0,0,0,0.001502513,0.002072431,0,0.002512823,0,0.00230558,0.001528418,0,0,0.001657945,0.004300295,0.001502513,0,0,0,0.00326408,0.00129527,0,0,0,0,0,0.001165743,0.00331589,0,0.003289985,0,0.001269364,0,0.002098337,0,0.002616445
sample_3,0.003101108,0.22604317,0.319659799,0,0,0,0,0.02376493,0,0.04768338,0,0,0,0,0.040867082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196905032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073444073,0,0,0,0,0,0,0,0,0,0,0.006724186,0
sample_4,0,0,0.03485175,0,0,0,0.057566075,0.010898913,0.027544525,0.022788635,0,0.012186966,0,0.068142974,0.030071091,0.087463774,0.008273265,0.011270466,0,0.025612445,0.016843774,0.001089891,0,0,0.001337594,0.020187759,0,0,0.015555721,0,0.01164202,0,0.005152213,0.004607268,0.003071512,0,0,0,0.006564118,0.004012781,0.002179783,0,0,0,0.002576107,0.107131357,0.002204553,0,0.002600877,0,0.004136633,0,0,0,0.015630031,0.004334795,0.001758688,0,0.002551336,0.001337594,0,0,0.006217334,0,0.001288053,0,0.010874142,0,0.002179783,0,0.008793441,0.004235714,0.004310025,0,0,0,0,0.005920091,0.008075103,0,0.009313616,0.00287335,0.001164202,0,0,0.001659607,0,0,0,0.0087439,0.005598078,0,0,0,0,0,0,0,0,0.002303634,0,0.002823809,0,0.002402715,0,0.00190731,0.003418295,0,0,0,0.003096282,0,0.002749498,0.043397488,0,0,0.001585296,0.001882539,0,0.001758688,0,0.003814619,0.002477026,0,0.006539348,0.001560526
sample_5,0.046333546,0.008656327,0.003329357,0.006242544,0,0.009433177,0.042144106,0.011347557,0.018450185,0.010487473,0,0.004328164,0.001026552,0.042366063,0.012651555,0.041284022,0.058263741,0.011735982,0,0.001193019,0.014704658,0.007435563,0.003273867,0,0.004328164,0.009017007,0.00729684,0,0.007796243,0,0.005965097,0.006381267,0.0015537,0.004522376,0.002996421,0.044252698,0.001692423,0,0.029769997,0.00382876,0.012762534,0.001109786,0,0.001470466,0.003301612,0.016480315,0.012929001,0.004050717,0.005132758,0.001442721,0.006603224,0.0015537,0.00460561,0.001359487,0.002080848,0.002857698,0,0.002635741,0.00233055,0,0,0.001775657,0,0.014399467,0.00113753,0,0.01609189,0.010903643,0.001414977,0.001276253,0.001414977,0.004799822,0.004161696,0.001442721,0.003579058,0.001442721,0.003801015,0.004439142,0.021807286,0.002358294,0.002580251,0.001165275,0,0,0,0.002191826,0,0,0,0.002774464,0,0.00191438,0.003523569,0,0,0.003690037,0,0.023250007,0,0.001470466,0,0.001082041,0,0.0015537,0.009766113,0.001165275,0,0.00191438,0.002497017,0.004910801,0,0.002829953,0,0.003745526,0,0,0.001109786,0.005299226,0.001886635,0,0.001858891,0,0.001387232,0,0.003218378,0
sample_6,0.106633061,0.043671085,0.070620168,0.012868672,0.001623731,0.002762766,0.022441412,0.024089378,0.039817754,0.017836803,0,0.02784577,0.035091971,0.026876378,0.021472021,0.001987253,0.01650389,0.040181276,0.015922255,0.019169716,0.007537019,0.001744905,0,0.012165863,0.003683688,0.022998812,0.01422582,0,0,0,0.019242421,0.001478322,0.009984732,0.001647965,0,0.001526792,0.001066331,0,0,0.003732157,0.004895427,0.004822723,0,0,0.008288297,0.014952863,0.001938783,0.004822723,0.00399874,0.003005114,0.008942636,0,0,0,0,0.00288394,0,0.007682427,0.00288394,0.002690061,0.003077818,0,0.007221966,0,0,0.003077818,0.004628844,0.001381383,0,0,0.010978358,0,0.007221966,0.005452827,0,0,0,0.001478322,0.001623731,0,0.006809975,0.004798488,0.0011148,0,0,0,0,0.009233454,0,0.002205366,0.004289557,0.001090565,0,0,0.005695175,0.001793374,0.002641592,0,0.005258949,0,0.001308678,0.001405618,0,0.002350774,0.001090565,0.006543392,0.001696435,0,0,0,0.00288394,0,0.00116327,0.004192618,0,0.001526792,0.003198992,0,0,0.001235974,0.006252575,0.001090565,0,0.001502557,0.00567094,0
sample_7,0.185715338,0.031574554,0.009673697,0.033735176,0.016793931,0.005647082,0.009354514,0.011367821,0.014485993,0.0077586,0.016032802,0.004321245,0.005106926,0,0.008396965,0.025313659,0.027498834,0,0.001399494,0.001178521,0.004984164,0.007071129,0.007734047,0.017898794,0,0.013012841,0.030960741,0.005769845,0,0.005106926,0.019101868,0.003854747,0.003903852,0.003240934,0.005303347,0.00591716,0.021753542,0.006089027,0.001276732,0.002823541,0.014485993,0.004566771,0.003731985,0,0.003830195,0.003560117,0.016131012,0.001522257,0.003191829,0.001153969,0,0,0.00999288,0.00164502,0,0.002578016,0,0.004517666,0.001964202,0,0.001203074,0.001227627,0,0.017064008,0,0,0,0.001473152,0,0.001301284,0.001767782,0,0.003019961,0.001227627,0.003093619,0.002676226,0,0.002455253,0.002921751,0.001399494,0.001767782,0,0.001252179,0,0.001424047,0.002970856,0,0.001988755,0.002406148,0,0.001964202,0.001399494,0,0,0,0,0.001595914,0.004566771,0.007095681,0,0,0,0,0.001522257,0.001080311,0.001988755,0.001104864,0.001915097,0.001399494,0,0,0,0,0,0.005205136,0,0,0.001497704,0.001080311,0,0.001350389,0.002381595,0,0,0.001546809,0.001276732
sample_8,0.013310921,0.019194076,0.067531347,0.002816645,0,0.015673269,0.016968017,0.005587861,0.020466109,0.032595857,0.008972379,0.024645648,0.014878248,0,0.031891695,0.014696529,0.004542977,0.037343267,0.012356896,0.011107578,0.013946938,0.004997274,0.002907505,0,0.003679811,0.015355261,0.010585135,0.016899873,0.006859895,0,0.005656006,0.005519717,0.001885335,0.002135199,0.002566782,0.003793385,0.008109213,0.00199891,0.005019989,0.002907505,0.004429402,0.00386153,0,0,0.001340178,0.005883155,0.004088679,0,0.005701436,0.001044885,0.014492095,0,0.00679175,0,0,0.00390696,0.001431038,0.008313647,0.002385063,0.003429947,0.013606215,0.01158459,0.001340178,0.015128112,0.00288479,0,0,0,0.001658186,0.003111939,0,0,0.003498092,0.002271488,0,0.001476467,0,0,0.002952935,0.002998365,0.006655461,0.003293658,0.005837725,0.002680356,0,0,0.002067054,0.001090314,0.003225513,0.005883155,0.004906415,0.001885335,0,0.002362348,0,0.001658186,0,0,0.025463384,0,0.001658186,0.003975104,0,0,0,0.003407232,0,0.001294748,0.002226059,0.001385608,0.001044885,0.002612212,0.001794476,0.001181174,0.002385063,0.001635472,0,0.001317463,0.001340178,0,0.00283936,0.004611121,0.00679175,0,0.005656006,0
sample_9,0.009116045,0.008678037,0.050507816,0.001697282,0,0.018368967,0.020613759,0.001697282,0.023296559,0.015357661,0.02335131,0.018916477,0.020038873,0,0.010074188,0.020860139,0.020449506,0.05773495,0.008157902,0.016288428,0.013824632,0.020449506,0.003367188,0,0.00993731,0.011798845,0.007637767,0.005064469,0.026417367,0,0.01262011,0.011141833,0.015823045,0.001943661,0.001478278,0.006597498,0,0.013003367,0,0.008924416,0,0,0.002162665,0,0.005529853,0.001012894,0.004188453,0.001368775,0.013906759,0.002326918,0.013112869,0,0,0,0,0.012537984,0.004954967,0,0.003285061,0.002080539,0.034602644,0.008240028,0.014864902,0,0.003038682,0.002491171,0,0.011442963,0,0,0.00347669,0,0.007364012,0.006926004,0.001724657,0.001067645,0.001752033,0.00213529,0.01371513,0,0,0.003421939,0.002217416,0,0.002381669,0.001560404,0.002983931,0.005502477,0,0.002409045,0.004954967,0.002299543,0.004407457,0.001286649,0.014290016,0,0.001423527,0,0.005447726,0.006049988,0.003723069,0,0.002518547,0.002600673,0,0.006898628,0.004626461,0,0.002573298,0,0.004215829,0.001533029,0.001149771,0,0.006323743,0.001450902,0.002244792,0.001177147,0,0.002354294,0.001423527,0.003805196,0.003449314,0,0,0.003367188
sample_10,0.035008113,0.011418955,0.043993028,0.003756235,0,0,0.026684296,0.002193641,0.010908107,0.011839654,0.025452251,0.017158483,0.004958231,0,0.010607609,0.009405613,0.002704489,0.048861109,0.007392271,0,0.005739528,0.011839654,0.006280426,0.005258729,0.008654366,0.013432298,0.010727808,0.003756235,0.029418835,0.00757257,0.007001623,0.00249414,0.004747881,0.004327183,0.006911473,0.002133542,0.004297133,0.010787908,0,0.012530801,0.003666086,0.002434041,0.005769577,0.002073442,0,0,0,0,0.016377186,0,0.005318829,0.004898131,0.001502494,0,0,0.004086784,0.003545886,0.009195264,0.002854739,0.003155238,0,0.002013342,0.002163592,0.008143518,0.009766212,0,0,0,0,0.002313841,0,0.003545886,0,0.002373941,0.001141896,0,0.001262095,0.010727808,0,0,0,0,0.001081796,0.001021696,0.001081796,0,0,0.001262095,0,0.003245387,0.003756235,0.003545886,0.003455737,0.001472444,0,0.00258429,0.003185288,0,0,0.003125188,0,0,0,0,0,0,0.001622694,0.004417333,0.001081796,0,0.001141896,0.00246409,0,0,0,0.001201995,0,0,0,0,0,0.003125188,0,0.001382295,0,0
sample_11,0.054677207,0.07243632,0.032087176,0.005324989,0.002580149,0.00153711,0.005077953,0.00735617,0.023770312,0.019323671,0.01232433,0.019872639,0.024676109,0.001427317,0.026981774,0.009030523,0.001866491,0.033541941,0.023825209,0.005242644,0.012818401,0.014492754,0.00496816,0.005297541,0.01301054,0,0.003925121,0.003184014,0.014410408,0.002360562,0.002333114,0.004034914,0.013065437,0,0.001125384,0.002717391,0,0.010293149,0.002580149,0.012983092,0.002195872,0,0.010842117,0.001893939,0,0,0.004830918,0.001097936,0.011116601,0.00359574,0.009853975,0.005407334,0,0.003513395,0,0.004721124,0.002470356,0.001729249,0.002717391,0.002333114,0.007630654,0.003211462,0.011445982,0.002580149,0.001509662,0,0,0.00343105,0,0.002031181,0.003376153,0,0.004254502,0.003513395,0.002827185,0.001015591,0.005379886,0,0,0.004254502,0,0.00376043,0,0.001344971,0.002552701,0.003568292,0.003046772,0.003293808,0.003568292,0,0,0.001893939,0.004034914,0.005434783,0,0.004364295,0,0.001646904,0.018115942,0.002470356,0.002278217,0,0.006203338,0.00137242,0,0.005434783,0,0,0.00205863,0,0,0.006916996,0.003568292,0,0.002470356,0.001344971,0,0,0,0,0,0,0.004474089,0.001262626,0.007713,0
sample_12,0.002199074,0,0.056365741,0,0,0.004774306,0.005989583,0.004716435,0.051533565,0.015711806,0.009403935,0.03431713,0,0.022164352,0.020283565,0.0390625,0.008072917,0.010734954,0,0.049826389,0.004311343,0.004861111,0.006452546,0,0.01171875,0.010127315,0.006452546,0,0.001736111,0,0.009780093,0,0.007609954,0.006626157,0.015943287,0,0,0.010821759,0,0.0140625,0.006799769,0,0,0.004311343,0.020457176,0.004340278,0.002141204,0,0.015162037,0,0.001996528,0,0,0.010677083,0.003877315,0.009056713,0.004484954,0,0.003356481,0.003703704,0,0,0.001996528,0,0,0.01796875,0.011487269,0,0.004050926,0.002314815,0.001851852,0.012991898,0.002951389,0.005671296,0,0,0.006770833,0.005179398,0,0.002430556,0.002893519,0.001822917,0,0.003559028,0.005381944,0.00390625,0.001273148,0.002980324,0,0.004427083,0.00541088,0.001736111,0.0078125,0,0.0046875,0.003240741,0.002835648,0.013831019,0.005381944,0.001417824,0.001649306,0.003096065,0.007523148,0.001215278,0,0.001215278,0.001446759,0,0.001302083,0.001475694,0.003009259,0.004918981,0,0,0,0.0015625,0.003559028,0.006626157,0.001128472,0,0,0,0.001880787,0.004542824,0.004224537,0.004195602
sample_13,0.101171529,0.014635907,0.00105011,0.023561842,0.007843009,0.004069176,0.007744561,0,0.007744561,0.008433695,0.006727267,0.022905523,0,0.023594658,0.0059725,0.005611525,0.003970728,0.00121419,0,0.011715289,0.006956978,0.003741017,0.014406196,0.007711745,0.003576937,0,0,0,0.001378269,0.004397335,0.002329931,0,0,0.001640797,0.018967611,0.001345453,0,0,0,0.0022643,0,0.003741017,0,0,0.010730811,0.027893545,0.003970728,0,0.002428379,0.001247006,0,0.010960522,0,0.008499327,0.006563187,0,0.010697995,0.001575165,0.002658091,0.002658091,0,0,0.002592459,0,0,0.004233256,0.003609753,0,0.005578709,0.001378269,0.003314409,0.018770715,0.017293998,0,0,0,0.008925934,0,0,0.004823943,0,0,0,0,0,0.009943228,0.003773833,0.001739245,0.001017294,0.001739245,0,0,0.016014176,0.001312637,0.006924162,0,0,0.001378269,0,0.005020838,0.003806649,0,0.013257638,0.004528599,0,0.001115742,0,0,0.002690907,0.004397335,0,0.004561415,0,0.007219506,0,0,0.001279821,0,0,0.001476717,0,0,0.006366291,0.002198668,0,0
