,feature_no,feature_name,vNE,info_rich_feature,max_num_for_this_dataset
0,0,ASV_1,1.9975312547747752,Yes,12
1,1,ASV_2,2.2010725392964576,Yes,12
2,2,ASV_3,2.3917399607130942,Yes,12
3,3,ASV_4,2.1247162538809765,No,12
4,4,ASV_5,2.1238252352173173,No,12
5,5,ASV_6,2.1236121555996665,No,12
6,6,ASV_7,2.120227954502464,No,12
7,7,ASV_9,2.1108211844560345,No,12
8,8,ASV_10,2.120013291105642,No,12
9,9,ASV_11,2.1004845689296774,No,12
10,10,ASV_12,2.123415567710126,No,12
11,11,ASV_13,2.120855893216388,No,12
12,12,ASV_15,2.11422780524952,No,12
13,13,ASV_16,2.1151567548010624,No,12
14,14,ASV_18,2.1068315381084983,No,12
15,15,ASV_19,2.0882846619978332,No,12
16,16,ASV_20,2.1158234287970594,No,12
17,17,ASV_21,2.087724453018869,No,12
18,18,ASV_22,2.0880114887776595,No,12
19,19,ASV_23,2.087659795789429,No,12
20,20,ASV_24,2.124901543742441,No,12
21,21,ASV_25,2.1174374473561883,No,12
22,22,ASV_27,2.1059268931660897,No,12
23,23,ASV_29,2.123035576970018,No,12
24,24,ASV_30,2.1220691916354357,No,12
25,25,ASV_31,2.1235785261584175,No,12
26,26,ASV_32,2.1221876012874774,No,12
27,27,ASV_34,2.124055696582066,No,12
28,28,ASV_35,2.1208537453456358,No,12
29,29,ASV_37,2.116670218742907,No,12
30,30,ASV_38,2.1252971666642546,No,12
31,31,ASV_39,2.121256177774105,No,12
32,32,ASV_40,2.120559021896289,No,12
33,33,ASV_42,2.1172532341932424,No,12
34,34,ASV_44,2.1234603877949136,No,12
35,35,ASV_45,2.124908066663448,No,12
36,36,ASV_47,2.116822682143632,No,12
37,37,ASV_48,2.123898963204391,No,12
38,38,ASV_49,2.1218232862214714,No,12
39,39,ASV_50,2.1249790982761727,No,12
40,40,ASV_51,2.1223935877377094,No,12
41,41,ASV_53,2.108667182661283,No,12
42,42,ASV_54,2.119693716660938,No,12
43,43,ASV_55,2.12225066418737,No,12
44,44,ASV_56,2.1251313052771192,No,12
45,45,ASV_57,2.118059080851993,No,12
46,46,ASV_58,2.1239960009773635,No,12
47,47,ASV_60,2.123025793682201,No,12
48,48,ASV_61,2.125181361886956,No,12
49,49,ASV_62,2.122505827486872,No,12
50,50,ASV_64,2.1249892161561674,No,12
51,51,ASV_65,2.1251496641843883,No,12
52,52,ASV_67,2.1234746020268753,No,12
53,53,ASV_69,2.125062390537712,No,12
54,54,ASV_70,2.1249798746765496,No,12
55,55,ASV_73,2.1252582108173033,No,12
56,56,ASV_74,2.125180428516753,No,12
57,57,ASV_75,2.1246553715633136,No,12
58,58,ASV_76,2.1218275302612155,No,12
59,59,ASV_78,2.1901777483933715,Yes,12
60,60,ASV_79,2.123227902264349,No,12
61,61,ASV_81,2.1249570887660085,No,12
62,62,ASV_84,2.1233270719773687,No,12
63,63,ASV_87,2.1248517456400102,No,12
64,64,ASV_89,2.122368631702659,No,12
65,65,ASV_91,2.1243093505458144,No,12
66,66,ASV_92,2.123354234159087,No,12
67,67,ASV_93,2.124142029818256,No,12
68,68,ASV_94,2.123162495498421,No,12
69,69,ASV_96,2.123982629980676,No,12
70,70,ASV_98,2.1252948370297267,No,12
71,71,ASV_99,2.125261448103661,No,12
72,72,ASV_100,2.124524407067715,No,12
73,73,ASV_102,2.1236000943811195,No,12
74,74,ASV_105,2.1253050489577867,No,12
75,75,ASV_106,2.1251983710329267,No,12
76,76,ASV_108,2.1117252463708454,No,12
77,77,ASV_109,2.1252359707481894,No,12
78,78,ASV_112,2.1248186114326897,No,12
79,79,ASV_117,2.1232351763154833,No,12
80,80,ASV_119,2.1221277782422296,No,12
81,81,ASV_120,2.1167420132127877,No,12
82,82,ASV_121,2.124685910103605,No,12
83,83,ASV_124,2.1225447911732456,No,12
84,84,ASV_126,2.075146301493841,Yes,12
85,85,ASV_127,2.1206997638479446,No,12
86,86,ASV_130,2.1232678884426077,No,12
87,87,ASV_131,2.125029592787294,No,12
88,88,ASV_135,2.1251945246125157,No,12
89,89,ASV_136,2.1238784214995317,No,12
90,90,ASV_138,2.1227117332733894,No,12
91,91,ASV_139,2.123163535343936,No,12
92,92,ASV_141,2.124889285937726,No,12
93,93,ASV_142,2.124994540433724,No,12
94,94,ASV_143,2.124722616978277,No,12
95,95,ASV_146,2.1236221817750933,No,12
96,96,ASV_147,2.1251691686561194,No,12
97,97,ASV_148,2.125291972440123,No,12
98,98,ASV_155,2.1251745821353234,No,12
99,99,ASV_156,2.1250929172557402,No,12
100,100,ASV_157,2.1246589849257393,No,12
101,101,ASV_158,2.125245554270596,No,12
102,102,ASV_160,2.1249912688511787,No,12
103,103,ASV_161,2.1252089207124247,No,12
104,104,ASV_162,2.124575016222707,No,12
105,105,ASV_163,2.1253008043219954,No,12
106,106,ASV_165,2.1252295280999163,No,12
107,107,ASV_166,2.1239576649593097,No,12
108,108,ASV_167,2.124927218271756,No,12
109,109,ASV_168,2.1204161295598754,No,12
110,110,ASV_169,2.1250310140701347,No,12
111,111,ASV_170,2.125298105989926,No,12
112,112,ASV_171,2.1239551447040363,No,12
113,113,ASV_172,2.1248424581923575,No,12
114,114,ASV_174,2.124834659266457,No,12
115,115,ASV_177,2.1251736107158283,No,12
116,116,ASV_180,2.1250379300103104,No,12
117,117,ASV_182,2.124807576366356,No,12
118,118,ASV_186,2.1247376693996265,No,12
119,119,ASV_187,2.125116320162832,No,12
120,120,ASV_189,2.124316557314996,No,12
121,121,ASV_190,2.124131000304596,No,12
122,122,ASV_192,2.1250676762606915,No,12
123,123,ASV_193,2.1247575905524227,No,12
124,124,ASV_196,2.125273192887111,No,12
125,125,ASV_197,2.1249444899141374,No,12
126,126,ASV_200,2.1248022119012586,No,12
127,127,ASV_204,2.1252621991123783,No,12
128,128,ASV_205,2.1248248243647945,No,12
129,129,ASV_208,2.125246447656278,No,12
130,130,ASV_210,2.1252366316096136,No,12
131,131,ASV_212,2.125241270518157,No,12
132,132,ASV_216,2.1236896585179736,No,12
133,133,ASV_217,2.1249669286391226,No,12
134,134,ASV_218,2.125023578615632,No,12
135,135,ASV_220,2.1247741819841006,No,12
136,136,ASV_222,2.1252809693519574,No,12
137,137,ASV_223,2.125213956369697,No,12
138,138,ASV_228,2.122324296982833,No,12
139,139,ASV_230,2.1237074261362077,No,12
140,140,ASV_239,2.1250997507237734,No,12
141,141,ASV_240,2.12503067839791,No,12
142,142,ASV_241,2.1252817882370683,No,12
143,143,ASV_243,2.1251762398693486,No,12
144,144,ASV_245,2.1194628111664575,No,12
145,145,ASV_246,2.1138059865768577,No,12
146,146,ASV_251,2.1246205811569663,No,12
147,147,ASV_254,2.1252263622565626,No,12
148,148,ASV_256,2.1252850994444166,No,12
149,149,ASV_258,2.1252314179479432,No,12
150,150,ASV_261,2.1251853812572343,No,12
151,151,ASV_264,2.125212085648123,No,12
152,152,ASV_267,2.1248740684973146,No,12
153,153,ASV_268,2.1251514005601417,No,12
154,154,ASV_269,2.125000789299504,No,12
155,155,ASV_273,2.1230206014983524,No,12
156,156,ASV_275,2.125138469892936,No,12
157,157,ASV_276,2.125226983339346,No,12
158,158,ASV_280,2.1238157446455497,No,12
159,159,ASV_281,2.125305779494671,No,12
160,160,ASV_282,2.1251534850075395,No,12
161,161,ASV_287,2.125235451036476,No,12
162,162,ASV_289,2.1252085026876717,No,12
163,163,ASV_290,2.1229942347546324,No,12
164,164,ASV_292,2.1252610352846495,No,12
165,165,ASV_294,2.125263670255191,No,12
166,166,ASV_295,2.1250023948171606,No,12
167,167,ASV_301,2.1244540887618513,No,12
168,168,ASV_304,2.1252804354015065,No,12
169,169,ASV_307,2.1252564516905212,No,12
170,170,ASV_310,2.1252909475677453,No,12
171,171,ASV_313,2.1245571373312324,No,12
172,172,ASV_317,2.125202255875004,No,12
173,173,ASV_320,2.125068202410903,No,12
174,174,ASV_324,2.125234833464318,No,12
175,175,ASV_325,2.1251532879975588,No,12
176,176,ASV_327,2.125238133322209,No,12
177,177,ASV_328,2.124931259832869,No,12
178,178,ASV_333,2.125069545378734,No,12
179,179,ASV_343,2.1253043407970442,No,12
180,180,ASV_345,2.122006496340389,No,12
181,181,ASV_348,2.1248484809436476,No,12
182,182,ASV_352,2.125206387761245,No,12
183,183,ASV_353,2.1251859172334626,No,12
184,184,ASV_357,2.125162736293853,No,12
185,185,ASV_361,2.1252909355270106,No,12
186,186,ASV_367,2.137060173286092,No,12
187,187,ASV_369,2.125264187565107,No,12
188,188,ASV_372,2.1246009442378733,No,12
189,189,ASV_374,2.125216786158768,No,12
190,190,ASV_377,2.125269910215196,No,12
191,191,ASV_382,2.1245072034828687,No,12
192,192,ASV_403,2.1252790855596997,No,12
193,193,ASV_404,2.125297258549381,No,12
194,194,ASV_406,2.125274224849543,No,12
195,195,ASV_407,2.125297426336276,No,12
