,feature_no,feature_name,vNE,info_rich_feature,max_num_for_this_dataset
0,0,ASV_1,1.8562155899234223,Yes,16
1,1,ASV_2,1.8464483238026022,Yes,16
2,2,ASV_3,2.064255115311084,No,16
3,3,ASV_4,2.0495535977059935,No,16
4,4,ASV_5,2.087150657660344,No,16
5,5,ASV_6,2.088442712621921,No,16
6,6,ASV_7,2.0511398470707136,No,16
7,7,ASV_9,2.0738964022000186,No,16
8,8,ASV_10,2.074101539413642,No,16
9,9,ASV_11,2.082349364150904,No,16
10,10,ASV_12,2.0862532704576746,No,16
11,11,ASV_13,2.0875799586793824,No,16
12,12,ASV_15,2.032182138669273,No,16
13,13,ASV_16,2.0751018093507567,No,16
14,14,ASV_17,2.089716186624463,No,16
15,15,ASV_18,2.0787012395185873,No,16
16,16,ASV_20,2.0881502477785925,No,16
17,17,ASV_21,2.0807380994598486,No,16
18,18,ASV_22,2.0874993291808726,No,16
19,19,ASV_23,2.089299925787178,No,16
20,20,ASV_24,2.089621070275431,No,16
21,21,ASV_27,2.0892600613386576,No,16
22,22,ASV_29,2.087548322770099,No,16
23,23,ASV_30,2.0875909529293604,No,16
24,24,ASV_31,2.087749639055392,No,16
25,25,ASV_32,2.203513999005859,Yes,16
26,26,ASV_34,2.0851279226742303,No,16
27,27,ASV_35,2.074941118715305,No,16
28,28,ASV_36,2.0846264777060153,No,16
29,29,ASV_37,2.086122992538664,No,16
30,30,ASV_38,2.089609647453015,No,16
31,31,ASV_39,2.0846714182066712,No,16
32,32,ASV_40,2.0881817818179083,No,16
33,33,ASV_41,2.0893875980178414,No,16
34,34,ASV_42,2.089345466107387,No,16
35,35,ASV_44,2.0887359305672186,No,16
36,36,ASV_45,2.089109522055099,No,16
37,37,ASV_47,2.080672273491671,No,16
38,38,ASV_48,2.089263419762617,No,16
39,39,ASV_49,2.0872889727449433,No,16
40,40,ASV_50,2.088015724353963,No,16
41,41,ASV_51,2.085717927868287,No,16
42,42,ASV_53,2.0788854786360575,No,16
43,43,ASV_55,2.087321763985931,No,16
44,44,ASV_56,2.0873832607174814,No,16
45,45,ASV_57,2.0870216425913166,No,16
46,46,ASV_58,2.0896642371615504,No,16
47,47,ASV_59,2.0689459263405614,No,16
48,48,ASV_60,2.0883802641974,No,16
49,49,ASV_61,2.0879705399976887,No,16
50,50,ASV_62,2.0890988900872163,No,16
51,51,ASV_63,2.0657992483876733,No,16
52,52,ASV_64,2.08943933978155,No,16
53,53,ASV_65,2.091015584710772,No,16
